iteration;totalTime;id;molA;molB;molC;molD
477;477;1;2356;487;201;1668
478;478;1;2363;487;200;1676
479;479;1;2364;485;200;1679
480;480;1;2371;483;200;1688
481;481;1;2377;483;200;1694
482;482;1;2380;479;200;1701
483;483;1;2389;483;200;1706
484;484;1;2393;485;200;1708
485;485;1;2398;487;200;1711
486;486;1;2403;488;200;1715
487;487;1;2414;496;200;1718
488;488;1;2417;494;200;1723
489;489;1;2421;492;200;1729
490;490;1;2422;487;200;1735
491;491;1;2428;487;200;1741
492;492;1;2430;486;200;1744
493;493;1;2441;492;200;1749
494;494;1;2449;499;200;1750
495;495;1;2454;501;200;1753
496;496;1;2459;498;200;1761
497;497;1;2461;491;200;1770
498;498;1;2467;488;200;1779
499;499;1;2476;492;200;1784
500;500;1;2480;492;200;1788
501;501;1;2486;491;200;1795
502;502;1;2491;494;200;1797
503;503;1;2497;496;200;1801
504;504;1;2502;495;200;1807
505;505;1;2505;494;200;1811
506;506;1;2510;494;200;1816
507;507;1;2513;493;200;1820
508;508;1;2520;494;200;1826
509;509;1;2527;498;200;1829
510;510;1;2530;499;200;1831
511;511;1;2534;501;200;1833
512;512;1;2539;499;200;1840
513;513;1;2541;497;200;1844
514;514;1;2548;502;200;1846
515;515;1;2553;502;200;1851
516;516;1;2557;499;200;1858
517;517;1;2562;502;200;1860
518;518;1;2566;497;200;1869
519;519;1;2574;500;200;1874
520;520;1;2583;505;200;1878
521;521;1;2593;511;200;1882
522;522;1;2596;511;200;1885
523;523;1;2597;507;200;1890
524;524;1;2600;506;200;1894
525;525;1;2609;507;200;1902
526;526;1;2612;505;200;1907
527;527;1;2617;503;200;1914
528;528;1;2621;502;200;1919
529;529;1;2625;503;200;1922
530;530;1;2630;505;200;1925
531;531;1;2634;502;200;1932
532;532;1;2638;500;200;1938
533;533;1;2645;499;200;1946
534;534;1;2648;495;200;1953
535;535;1;2649;490;200;1959
536;536;1;2658;493;200;1965
537;537;1;2666;497;200;1969
538;538;1;2669;493;200;1976
539;539;1;2674;494;200;1980
540;540;1;2679;498;200;1981
541;541;1;2685;495;200;1990
542;542;1;2690;493;200;1997
543;543;1;2693;488;200;2005
544;544;1;2699;488;200;2011
545;545;1;2706;492;200;2014
546;546;1;2710;492;200;2018
547;547;1;2713;491;200;2022
548;548;1;2722;498;200;2024
549;549;1;2727;499;200;2028
550;550;1;2731;496;200;2035
551;551;1;2736;494;200;2042
552;552;1;2744;496;200;2048
553;553;1;2752;501;200;2051
554;554;1;2759;506;200;2053
555;555;1;2773;512;200;2061
556;556;1;2779;512;200;2067
557;557;1;2783;506;200;2077
558;558;1;2792;508;200;2084
559;559;1;2796;505;200;2091
560;560;1;2798;498;200;2100
561;561;1;2804;499;200;2105
562;562;1;2809;500;200;2109
